x,y,class
-3.090102143825305125e-01,-9.510161358918496344e-01,7.000000000000000000e+00
3.090188456336913081e-01,9.510547991392648282e-01,2.000000000000000000e+00
8.085599109626653291e-01,5.873123159022649586e-01,1.000000000000000000e+00
9.999663476815877639e-01,-8.732076545916196732e-07,0.000000000000000000e+00
-8.035843144390069082e-01,5.837309546748432609e-01,4.000000000000000000e+00
8.087170071972465957e-01,5.873808742775900038e-01,1.000000000000000000e+00
-7.912448276371384370e-01,5.736133074990296121e-01,4.000000000000000000e+00
8.054363286477708161e-01,-5.841244446585048822e-01,9.000000000000000000e+00
-9.970015969888715857e-01,-6.404185763151925941e-03,5.000000000000000000e+00
8.089874250362459884e-01,-5.877920904491391596e-01,9.000000000000000000e+00
9.999989981659205274e-01,-1.182735101165230272e-07,0.000000000000000000e+00
-8.089775973286700284e-01,-5.877708626531366054e-01,6.000000000000000000e+00
8.090136256406987858e-01,-5.877821432394972900e-01,9.000000000000000000e+00
9.999970753805644819e-01,-1.800166940584767270e-06,0.000000000000000000e+00
8.090153445645671404e-01,5.877840416806250357e-01,1.000000000000000000e+00
-9.959275991989616772e-01,5.584505240956921975e-03,5.000000000000000000e+00
8.088568339497413939e-01,-5.878000558568176048e-01,9.000000000000000000e+00
-3.090163284795562348e-01,-9.510462654893161449e-01,7.000000000000000000e+00
-4.022313347124383681e-02,8.071571004430530549e-02,3.000000000000000000e+00
-8.090052335631843228e-01,5.877718293836886598e-01,4.000000000000000000e+00
8.078078511106280279e-01,-5.881668801834326610e-01,9.000000000000000000e+00
-8.090538645335882961e-01,-5.876439683647223244e-01,6.000000000000000000e+00
-8.090085534633724151e-01,-5.877822663561126371e-01,6.000000000000000000e+00
-9.999998352453413064e-01,-2.097573758047408509e-08,5.000000000000000000e+00
-8.080441702230752865e-01,5.866227124368946777e-01,4.000000000000000000e+00
9.999993515800790211e-01,-1.530079585695916423e-07,0.000000000000000000e+00
-3.089959166613329700e-01,-9.510338425662817619e-01,7.000000000000000000e+00
-8.063501386436288110e-01,5.858378919236142401e-01,4.000000000000000000e+00
9.999983327908744668e-01,2.231610873491522949e-06,0.000000000000000000e+00
8.089425962555177874e-01,5.877703864478789342e-01,1.000000000000000000e+00
-3.090170878591304016e-01,9.510563328152942253e-01,3.000000000000000000e+00
8.051903061282910112e-01,5.863667498673190703e-01,1.000000000000000000e+00
-3.090173088085750308e-01,9.510560434385348927e-01,3.000000000000000000e+00
-8.040880859406605019e-01,5.837347441118183600e-01,4.000000000000000000e+00
-3.090150244168912153e-01,-9.510235151260532094e-01,7.000000000000000000e+00
3.091778576338196083e-01,9.509366326042875128e-01,2.000000000000000000e+00
-3.089699287019307405e-01,-9.507019612261573549e-01,7.000000000000000000e+00
8.089751309280294178e-01,5.877590972653548018e-01,1.000000000000000000e+00
2.709107272415972600e-01,9.503977249688037032e-01,2.000000000000000000e+00
8.090057758313400349e-01,5.877750101616767697e-01,1.000000000000000000e+00
8.082790515687779953e-01,5.869694265797739119e-01,1.000000000000000000e+00
-3.089445794141260082e-01,-9.492908684145525688e-01,7.000000000000000000e+00
-8.085666460592807470e-01,5.874151598226879933e-01,4.000000000000000000e+00
3.089501168617478366e-01,9.508189778936270153e-01,2.000000000000000000e+00
-3.090091134071195622e-01,9.509344809565134504e-01,3.000000000000000000e+00
-9.999656362615545468e-01,-1.182927539379399129e-05,5.000000000000000000e+00
8.086780402851168059e-01,5.877280050431377134e-01,1.000000000000000000e+00
3.089668431226087475e-01,9.509814059280893295e-01,2.000000000000000000e+00
-8.082173326683647074e-01,5.871932361835412451e-01,4.000000000000000000e+00
-7.859680599048578520e-01,5.707476533502566785e-01,4.000000000000000000e+00
-8.089010467685658901e-01,-5.877430989201620770e-01,6.000000000000000000e+00
-3.090071019228025628e-01,9.510266433341114656e-01,3.000000000000000000e+00
-9.999782956838473291e-01,1.325487188319547159e-06,5.000000000000000000e+00
-9.999110322051988353e-01,2.368961504054117409e-05,5.000000000000000000e+00
-8.090168951537399789e-01,-5.877849786163154011e-01,6.000000000000000000e+00
9.998148907278570086e-01,-5.476058018365752316e-05,0.000000000000000000e+00
-8.088724344442282943e-01,5.876678500568409680e-01,4.000000000000000000e+00
8.085105277078049602e-01,5.871105440856528856e-01,1.000000000000000000e+00
8.089515066678943933e-01,-5.877793769622554620e-01,9.000000000000000000e+00
-9.994247742481761065e-01,-4.409176978355006820e-04,5.000000000000000000e+00
-3.090170045766463258e-01,-9.510565003112988469e-01,7.000000000000000000e+00
3.057871531410681909e-01,-4.337456207728906943e-01,8.000000000000000000e+00
6.778007926193310162e-01,-5.483721924154847382e-01,9.000000000000000000e+00
-3.089805887687633867e-01,9.509573742400914131e-01,3.000000000000000000e+00
-3.090167080387783427e-01,-9.496269258946942182e-01,7.000000000000000000e+00
-7.788766950863684757e-01,5.653046258354699205e-01,4.000000000000000000e+00
-8.085316929563444166e-01,-5.875570857802785429e-01,6.000000000000000000e+00
-8.090037491211219400e-01,5.877830756775401788e-01,4.000000000000000000e+00
-3.090176184326581255e-01,9.510553586575067886e-01,3.000000000000000000e+00
9.999950630492229209e-01,-1.531841420889218576e-06,0.000000000000000000e+00
-3.090169270565025217e-01,-9.510562841170486781e-01,7.000000000000000000e+00
9.999999867938176301e-01,-9.974801333727925029e-09,0.000000000000000000e+00
3.090115788438368982e-01,9.510539036318007566e-01,2.000000000000000000e+00
8.077437863377817662e-01,-5.881405698238013624e-01,9.000000000000000000e+00
8.089510141912559238e-01,5.877606664537571302e-01,1.000000000000000000e+00
-3.090143912363376710e-01,-9.510338768085019323e-01,7.000000000000000000e+00
-3.090169700482918169e-01,9.510555832371868634e-01,3.000000000000000000e+00
3.235218276073090760e-01,9.388275818959201935e-01,2.000000000000000000e+00
8.089178689797250632e-01,-5.877578687704985150e-01,9.000000000000000000e+00
-3.089905508800315781e-01,-9.509836311120689611e-01,7.000000000000000000e+00
-3.084129163785512828e-01,-9.508277351140624889e-01,7.000000000000000000e+00
-8.090258038396550555e-01,-5.875057514678823090e-01,6.000000000000000000e+00
3.090170963921159974e-01,9.510563139466295945e-01,2.000000000000000000e+00
-3.089140304932196379e-01,-9.510218960056338044e-01,7.000000000000000000e+00
3.070599111176466334e-01,-9.500411043593938176e-01,8.000000000000000000e+00
-8.089034910894081776e-01,5.876817327191584672e-01,4.000000000000000000e+00
-3.089914940754927564e-01,-9.509586358943934448e-01,7.000000000000000000e+00
-3.090580157779325710e-01,9.509792443993072553e-01,3.000000000000000000e+00
-8.090169994041890300e-01,-5.877852486422752154e-01,6.000000000000000000e+00
8.082709530063890702e-01,5.868208117054817263e-01,1.000000000000000000e+00
-3.090156647701199355e-01,9.510497892458806835e-01,3.000000000000000000e+00
-8.090165745758146620e-01,-5.877845666377414791e-01,6.000000000000000000e+00
8.080871155002006256e-01,-5.871858504126657996e-01,9.000000000000000000e+00
-3.091853192730382172e-01,9.506005494694399482e-01,3.000000000000000000e+00
8.059480865185473242e-01,5.873948366429466716e-01,1.000000000000000000e+00
-8.089141677756543913e-01,5.876655465058482353e-01,4.000000000000000000e+00
7.519729411148800002e-01,5.603316213557392178e-01,1.000000000000000000e+00
-3.090072702779290692e-01,-9.507544827748891647e-01,7.000000000000000000e+00
-8.090262593404089486e-01,-5.870506433298167126e-01,6.000000000000000000e+00
8.089741501280673930e-01,-5.877666608057151576e-01,9.000000000000000000e+00
-8.090145513692353907e-01,-5.877837093271517377e-01,6.000000000000000000e+00
9.999967060658395690e-01,-1.045918219185300457e-06,0.000000000000000000e+00
-9.999955756530143347e-01,5.234480713775677459e-06,5.000000000000000000e+00
-8.090164456854500585e-01,5.877853356416444797e-01,4.000000000000000000e+00
-5.977331601620673035e-02,-3.045326181885381067e-01,9.000000000000000000e+00
8.087357441871604324e-01,-5.875442326795199399e-01,9.000000000000000000e+00
3.090113901588218970e-01,9.510268667500330064e-01,2.000000000000000000e+00
8.086732551582810347e-01,5.874735161617204993e-01,1.000000000000000000e+00
8.089567651496190059e-01,-5.877438908252221594e-01,9.000000000000000000e+00
-8.089787524620190018e-01,5.877032077629150697e-01,4.000000000000000000e+00
3.089931709275510197e-01,-9.508892805358893918e-01,8.000000000000000000e+00
-3.032643255506937141e-01,-9.383759826049697939e-01,7.000000000000000000e+00
-3.090185892661792000e-01,9.510538063252893526e-01,3.000000000000000000e+00
8.089975861566400805e-01,-5.877628283874044568e-01,9.000000000000000000e+00
-3.089858642205259853e-01,-9.493218640318463741e-01,7.000000000000000000e+00
6.034815344572261875e-01,-4.390363385716874456e-01,4.000000000000000000e+00
-7.876625923130387008e-01,5.722445292690981899e-01,4.000000000000000000e+00
-8.077831378958609809e-01,5.869391863061819148e-01,4.000000000000000000e+00
8.089181683091306585e-01,-5.877336410735138905e-01,9.000000000000000000e+00
3.087001792744072937e-01,9.474258950735762186e-01,2.000000000000000000e+00
-9.999952815016975860e-01,6.457007860166091620e-06,5.000000000000000000e+00
-7.277254564443248475e-01,5.007327457674122240e-01,4.000000000000000000e+00
-3.087255061645986509e-01,-9.508050193071960754e-01,7.000000000000000000e+00
-8.090146324781017917e-01,-5.877804654212834823e-01,6.000000000000000000e+00
-3.090438589960896598e-01,-9.509186022902668123e-01,7.000000000000000000e+00
7.980285233691877256e-01,-5.790809254137029294e-01,9.000000000000000000e+00
9.906946152935395267e-01,-1.020100194830932333e-03,0.000000000000000000e+00
-9.999999835321274899e-01,-2.231871681107019314e-08,5.000000000000000000e+00
3.090078571637363547e-01,-9.510461493338703276e-01,8.000000000000000000e+00
-9.999998250994321936e-01,-1.113988888956840394e-08,5.000000000000000000e+00
-8.090117464413069115e-01,-5.877799567264222480e-01,6.000000000000000000e+00
-8.090179301924246280e-01,-5.877806460696306523e-01,6.000000000000000000e+00
-9.999981631519493375e-01,2.436421156846264860e-06,5.000000000000000000e+00
-3.090032382328551930e-01,-9.509186262346249752e-01,7.000000000000000000e+00
3.090108861667481555e-01,-9.510440752680118237e-01,8.000000000000000000e+00
8.090069115309220793e-01,5.877735968797029864e-01,1.000000000000000000e+00
9.999773605470468896e-01,1.613242887871344468e-05,0.000000000000000000e+00
8.089142969635152447e-01,5.876760809921943718e-01,1.000000000000000000e+00
-8.090169911354322396e-01,-5.877852521519384421e-01,6.000000000000000000e+00
-6.387329309197249394e-01,4.565601482012824897e-01,4.000000000000000000e+00
-8.086608286509199273e-01,-5.873877521657357992e-01,6.000000000000000000e+00
-3.090170026498715861e-01,-9.510565013713182525e-01,7.000000000000000000e+00
-3.086021401909060380e-01,9.497443990398133362e-01,3.000000000000000000e+00
8.089939095325346941e-01,5.877601496930547897e-01,1.000000000000000000e+00
-3.090125211628184099e-01,-9.507841293386142256e-01,7.000000000000000000e+00
8.089739115965968175e-01,5.877753245820034333e-01,1.000000000000000000e+00
3.089322450835989553e-01,-9.507378117012655894e-01,8.000000000000000000e+00
3.090170253764036312e-01,9.510564006060865383e-01,2.000000000000000000e+00
9.999731098905363380e-01,-4.096533011950488783e-06,0.000000000000000000e+00
4.577097431899262436e-01,-2.381160891468691587e-01,2.000000000000000000e+00
8.088937741937461956e-01,-5.877471917148656688e-01,9.000000000000000000e+00
3.262780234676072588e-01,-7.161890639637938927e-01,9.000000000000000000e+00
-9.999577931523834229e-01,-2.856063174080754525e-05,5.000000000000000000e+00
-9.998448030192575997e-01,4.631233318200211237e-06,5.000000000000000000e+00
8.086062029799990780e-01,5.875144023236554824e-01,1.000000000000000000e+00
-9.999943878505334061e-01,-1.950954048717062732e-06,5.000000000000000000e+00
-8.090169669669823316e-01,-5.877849805212111978e-01,6.000000000000000000e+00
9.998549717004021620e-01,-1.168315024112225221e-04,0.000000000000000000e+00
