x,y
419.17,64.59
394.28,149.06
190.72,388.36
391.99,32.76
448.18,220.15
339.40,274.10
388.93,446.51
246.50,207.82
338.84,338.04
376.37,124.07
357.49,282.32
371.63,445.86
101.30,254.91
115.82,394.41
194.52,267.26
17.92,73.41
164.16,30.15
127.81,333.48
200.62,40.54
440.80,76.66
358.21,61.90
34.81,127.64
51.01,163.65
16.90,322.09
377.33,26.63
414.81,387.12
420.47,192.78
166.92,88.33
231.18,307.52
266.30,348.89
85.51,439.65
330.15,60.73
281.20,402.85
332.16,49.24
370.26,267.77
218.40,275.42
203.19,70.45
412.41,257.29
422.67,389.62
249.77,29.28
441.68,164.18
82.82,112.57
34.87,430.80
47.96,384.59
259.59,215.31
448.63,131.79
172.06,297.60
281.64,413.47
433.07,432.29
54.77,14.68
417.83,238.51
196.86,413.30
339.07,251.31
112.64,360.11
416.59,263.19
277.86,109.49
222.39,61.35
153.69,282.71
144.07,322.71
81.82,202.60
289.08,425.08
256.39,430.27
53.24,162.59
381.18,399.52
79.46,379.64
229.78,319.49
324.68,110.03
327.68,182.67
27.97,301.47
190.34,122.08
47.29,274.18
123.74,175.68
377.12,413.09
286.11,143.12
29.94,301.36
100.63,260.45
288.05,81.26
42.92,243.77
260.70,422.49
435.70,89.85
302.33,203.15
317.94,416.55
204.59,211.63
301.70,241.46
145.58,165.74
91.72,291.33
213.93,84.65
144.33,432.72
106.35,152.86
374.39,14.44
225.05,105.16
15.02,383.86
257.72,354.74
34.50,398.96
412.87,29.74
215.68,288.34
153.40,249.57
132.49,217.57
193.27,264.65
85.66,220.54
394.81,320.93
238.83,446.03
149.11,61.83
370.65,29.27
15.98,329.41
73.70,38.99
102.97,72.72
291.01,326.98
439.42,362.75
233.36,398.49
11.20,420.93
155.90,75.56
365.02,154.28
260.58,210.96
382.79,16.75
316.49,408.91
44.81,95.32
387.30,27.34
188.04,205.99
427.26,442.43
359.69,398.08
88.28,160.94
72.43,426.20
373.68,179.97
200.72,61.18
72.34,62.14
234.69,134.04
98.10,404.61
255.61,307.83
245.67,274.14
222.41,359.81
55.67,127.72
390.08,339.34
199.44,151.25
23.48,260.83
172.17,212.63
59.88,240.42
355.68,10.51
212.27,231.04
250.84,155.33
440.58,326.98
232.90,138.20
233.31,344.40
292.51,353.79
208.71,314.83
65.32,401.56
154.60,166.99
60.62,367.16
13.96,297.64
13.03,48.75
72.31,382.37
157.15,277.02
23.69,387.08
11.09,151.24
340.00,88.84
198.75,268.22
195.30,228.39
436.82,72.16
21.02,177.84
199.16,255.40
93.22,239.23
449.85,257.61
395.58,108.20
139.67,266.96
219.01,374.56
109.29,422.98
195.13,74.36
268.61,201.27
404.87,194.39
360.66,189.93
51.52,205.60
300.92,143.96
439.83,363.89
317.30,290.23
222.09,82.84
154.64,10.72
34.04,62.45
88.24,137.47
309.33,324.22
141.30,327.89
102.46,99.94
306.72,282.72
445.86,132.17
183.88,107.07
437.46,442.60
139.71,36.28
161.18,402.69
153.67,188.26
284.13,422.65
137.67,217.14
399.04,74.31
60.15,202.96
61.32,143.77
384.02,51.13
235.09,325.22
339.41,26.75
366.03,27.96
24.99,386.29
116.89,44.95
65.38,243.06
